identity_id,expected_looks,expected_sex,editorial_ethnicity,split,image_id,relative_path,filename,timestamp,outcome,refusal_reason,model_raw,bp,cv,sex,sex_conf,sex_source,reliability
adele,6.5,f,white,train,adele/4.jpg,images/roster/adele/4.jpg,4.jpg,2026-08-18T10:57:27.151Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
adele,6.5,f,white,train,adele/8.jpg,images/roster/adele/8.jpg,8.jpg,2026-08-18T10:57:27.851Z,refused,This angle is too far off to measure — head turned (~27°); head tilted sideways (~13°). Retake facing the camera square-on.,,,,,,,
adele,6.5,f,white,train,adele/9.jpg,images/roster/adele/9.jpg,9.jpg,2026-08-18T10:57:28.409Z,scored,,4.081,7.54,7.54,f,100%,model,
adele,6.5,f,white,train,adele/10.jpg,images/roster/adele/10.jpg,10.jpg,2026-08-18T10:57:28.626Z,scored,,3.960,7.11,7.11,f,100%,model,non-standard framing (head turned (~17°)) — scored on your override; expect a rougher read.
aerith-gainsborough,8.5,f,other,train,aerith-gainsborough/1.jpg,images/roster/aerith-gainsborough/1.jpg,1.jpg,2026-08-18T10:57:28.855Z,scored,,3.859,6.90,6.90,f,100%,model,non-standard framing (head turned (~20°); head tilted sideways (~17°)) — scored on your override; expect a rougher read.
aerith-gainsborough,8.5,f,other,train,aerith-gainsborough/2.jpg,images/roster/aerith-gainsborough/2.jpg,2.jpg,2026-08-18T10:57:29.042Z,scored,,3.886,6.95,6.95,f,100%,model,non-standard framing (head turned (~16°); head tilted sideways (~16°)) — scored on your override; expect a rougher read.
aerith-gainsborough,8.5,f,other,train,aerith-gainsborough/3.jpg,images/roster/aerith-gainsborough/3.jpg,3.jpg,2026-08-18T10:57:29.240Z,refused,This angle is too far off to measure — head turned (~18°); head tilted sideways (~34°). Retake facing the camera square-on.,,,,,,,
aerith-gainsborough,8.5,f,other,train,aerith-gainsborough/4.jpg,images/roster/aerith-gainsborough/4.jpg,4.jpg,2026-08-18T10:57:29.788Z,scored,,2.804,5.34,5.34,f,100%,model,non-standard framing (head turned (~13°); head tilted sideways (~22°)) — scored on your override; expect a rougher read.
aerith-gainsborough,8.5,f,other,train,aerith-gainsborough/5.jpg,images/roster/aerith-gainsborough/5.jpg,5.jpg,2026-08-18T10:57:29.972Z,scored,,3.459,6.39,6.39,f,100%,model,non-standard framing (head turned (~23°)) — scored on your override; expect a rougher read.
alice-lane,8.5,f,white,train,alice-lane/2.jpg,images/roster/alice-lane/2.jpg,2.jpg,2026-08-18T10:57:30.150Z,scored,,3.551,6.47,6.47,f,100%,model,non-standard framing (head turned (~15°); head tilted sideways (~22°)) — scored on your override; expect a rougher read.
alice-lane,8.5,f,white,train,alice-lane/3.jpg,images/roster/alice-lane/3.jpg,3.jpg,2026-08-18T10:57:30.355Z,scored,,3.808,6.80,6.80,f,100%,model,"small/distant face (~107px of real detail) — score is rougher than a tight, sharp headshot."
alice-lane,8.5,f,white,train,alice-lane/4.jpg,images/roster/alice-lane/4.jpg,4.jpg,2026-08-18T10:57:30.542Z,scored,,3.561,6.48,6.48,f,100%,model,"small/distant face (~189px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~22°); head tilted sideways (~22°)) — scored on your override; expect a rougher read."
alissa-white-gluz,7.8,f,white,train,alissa-white-gluz/1.jpg,images/roster/alissa-white-gluz/1.jpg,1.jpg,2026-08-18T10:57:30.762Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
alissa-white-gluz,7.8,f,white,train,alissa-white-gluz/2.jpg,images/roster/alissa-white-gluz/2.jpg,2.jpg,2026-08-18T10:57:31.300Z,scored,,4.111,7.65,7.65,f,98%,model,
amber-heard,8.5,f,white,train,amber-heard/2.jpg,images/roster/amber-heard/2.jpg,2.jpg,2026-08-18T10:57:31.494Z,scored,,3.451,6.38,6.38,f,100%,model,non-standard framing (head turned (~22°); head tilted sideways (~11°)) — scored on your override; expect a rougher read.
amber-heard,8.5,f,white,train,amber-heard/3.jpg,images/roster/amber-heard/3.jpg,3.jpg,2026-08-18T10:57:31.693Z,scored,,4.261,8.35,8.35,f,100%,model,non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read.
amber-heard,8.5,f,white,train,amber-heard/5.jpg,images/roster/amber-heard/5.jpg,5.jpg,2026-08-18T10:57:31.884Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
amber-heard,8.5,f,white,train,amber-heard/6.jpg,images/roster/amber-heard/6.jpg,6.jpg,2026-08-18T10:57:32.431Z,scored,,3.861,6.90,6.90,f,100%,model,
amber-heard,8.5,f,white,train,amber-heard/7.jpg,images/roster/amber-heard/7.jpg,7.jpg,2026-08-18T10:57:32.608Z,scored,,4.195,8.04,8.04,f,100%,model,
amelia-dimoldenberg,7.2,f,white,holdout,amelia-dimoldenberg/1.jpg,images/roster/amelia-dimoldenberg/1.jpg,1.jpg,2026-08-18T10:57:32.808Z,scored,,2.923,5.72,5.72,f,100%,model,non-standard framing (head turned (~16°)) — scored on your override; expect a rougher read.
