dataset,identity_id,split,expected_sex,editorial_ethnicity,expected_looks,image_path,before_raw,after_raw,raw_delta,before_display,after_display,before_abs_display_error,after_abs_display_error,display_error_improvement,before_rank_error,after_rank_error,rank_error_improvement,representative_image_before_raw,representative_image_after_raw,crop_requested_fits,crop_source_contained,crop_side_px,crop_shift_x_px,crop_shift_y_px,crop_pad_left_px,crop_pad_top_px,crop_pad_right_px,crop_pad_bottom_px,crop_padding_area_pct,crop_face_visible_pct,reliability
canonical,pete-davidson,train,m,white,5.0,images/roster/pete-davidson.jpg,3.449,3.075,-0.37399999999999967,6.3822635444317495,5.9807473655893375,1.3822635444317495,0.9807473655893375,0.401516178842412,0.49382716049382713,0.20987654320987653,0.2839506172839506,3.449,3.075,true,true,668.16,0,-91.52,0,0,0,0,0,94.82,non-standard framing (head turned (~17°)) — scored on your override; expect a rougher read.
canonical,keanu-reeves,train,m,mixed,8.5,images/roster/keanu-reeves.jpg,3.236,3.561,0.32499999999999973,6.17708166725816,6.484539220651611,2.32291833274184,2.0154607793483894,0.3074575533934505,0.30864197530864196,0.03703703703703698,0.271604938271605,3.236,3.561,true,true,727.37,0,-163.12,0,0,0,0,0,82.6,
canonical,conor-mcgregor,train,m,white,7.0,images/roster/conor-mcgregor.jpg,2.788,3.45,0.6620000000000004,5.259014447563939,6.383137208681331,1.7409855524360607,0.6168627913186686,1.124122761117392,0.33950617283950624,0.10493827160493818,0.23456790123456805,2.788,3.45,true,true,704.96,0,-143.28,0,0,0,0,0,85.55,
canonical,lena-dunham,validation,f,white,3.5,images/roster/lena-dunham.jpg,3.985,3.78,-0.20500000000000007,7.1870779139334875,6.7586105450701455,3.6870779139334875,3.2586105450701455,0.428467368863342,0.8132530120481928,0.6807228915662651,0.1325301204819277,3.985,3.78,true,true,705.44,0,-115.38,0,0,0,0,0,91.1,non-standard framing (head tilted sideways (~11°)) — scored on your override; expect a rougher read.
canonical,timothee-chalamet,train,m,white,8.5,images/roster/timothee-chalamet.jpg,3.883,3.622,-0.2610000000000001,6.941356557268792,6.557581036904657,1.5586434427312081,1.942418963095343,-0.38377552036413487,0.11111111111111116,0.012345679012345734,0.09876543209876543,3.883,3.622,true,true,704.73,0,-198.48,0,0,0,0,0,74.57,
canonical,george-clooney,train,m,white,8.5,images/roster/george-clooney.jpg,3.845,3.618,-0.2270000000000003,6.865930245276555,6.552673815738522,1.6340697547234448,1.9473261842614784,-0.31325642953803357,0.09876543209876543,0.012345679012345623,0.0864197530864198,3.845,3.618,true,true,696.65,0,-124.03,0,0,0,0,0,89.07,
canonical,amy-schumer,train,f,white,4.5,images/roster/amy-schumer.jpg,3.745,3.59,-0.15500000000000025,6.709116141435534,6.518677440437134,2.2091161414355343,2.018677440437134,0.1904387009984001,0.5783132530120483,0.4939759036144578,0.08433734939759047,3.745,3.59,true,true,769.2,-13.85,-110.86,0,0,0,0,0,93.82,non-standard framing (head turned (~17°)) — scored on your override; expect a rougher read.
canonical,harry-styles,train,m,white,8.0,images/roster/harry-styles.jpg,2.335,2.573,0.238,3.2424286895325203,4.164168645595328,4.75757131046748,3.8358313544046716,0.9217399560628081,0.6728395061728396,0.5987654320987654,0.07407407407407418,2.335,2.573,true,true,662.61,0,-113.5,0,0,0,0,0,90.02,
canonical,dwayne-johnson,holdout,m,mixed,7.5,images/roster/dwayne-johnson.jpg,3.306,3.458,0.15200000000000014,6.242226023077727,6.390138960351276,1.257773976922273,1.1098610396487238,0.14791293727354926,0.07407407407407407,0.024691358024691357,0.04938271604938271,3.306,3.458,true,true,750.29,0,-194.96,0,0,0,0,0,77.62,
canonical,tekashi-6ix9ine,validation,m,latino,4.0,images/roster/tekashi-6ix9ine.jpg,3.08,2.997,-0.08300000000000018,5.988847632931473,5.8633206639128685,1.9888476329314733,1.8633206639128685,0.12552696901860472,0.32098765432098764,0.2716049382716049,0.04938271604938271,3.08,2.997,true,true,256.07,0,-28.3,0,0,0,0,0,98.53,
