identity_id,expected_sex,expected_looks,label_band,split,gallery_image_count,editorial_ethnicity,demographic_metadata_source
adele,f,6.5,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
aerith-gainsborough,f,8.5,high_ge_8,train,5,other,matchmaker.html explicit editorial field; not image-inferred
alice-lane,f,8.5,high_ge_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
alissa-white-gluz,f,7.8,middle_5_5_to_lt_8,train,2,white,matchmaker.html explicit editorial field; not image-inferred
amber-heard,f,8.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
amelia-dimoldenberg,f,7.2,middle_5_5_to_lt_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
amy-schumer,f,4.5,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
ana-de-armas,f,9.4,high_ge_8,train,5,latino,matchmaker.html explicit editorial field; not image-inferred
andrew-tate,m,6.5,middle_5_5_to_lt_8,train,2,mixed,matchmaker.html explicit editorial field; not image-inferred
angela-deem,f,2.5,low_lt_5_5,train,4,white,matchmaker.html explicit editorial field; not image-inferred
anna-henrietta,f,7.5,middle_5_5_to_lt_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
anna-sorokin,f,5.5,middle_5_5_to_lt_8,holdout,4,white,matchmaker.html explicit editorial field; not image-inferred
anne-hathaway,f,8.3,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
armie-hammer,m,8.0,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
asmr-darling,f,7.4,middle_5_5_to_lt_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
aubrey-oday,f,5.5,middle_5_5_to_lt_8,validation,3,white,matchmaker.html explicit editorial field; not image-inferred
awkwafina,f,5.4,low_lt_5_5,validation,2,east-asian,matchmaker.html explicit editorial field; not image-inferred
azealia-banks,f,6.0,middle_5_5_to_lt_8,validation,5,black,matchmaker.html explicit editorial field; not image-inferred
bad-bunny,m,6.5,middle_5_5_to_lt_8,train,5,latino,matchmaker.html explicit editorial field; not image-inferred
barack-obama,m,7.1,middle_5_5_to_lt_8,train,3,mixed,matchmaker.html explicit editorial field; not image-inferred
bella-hadid,f,9.3,high_ge_8,train,2,mixed,matchmaker.html explicit editorial field; not image-inferred
bella-thorne,f,7.5,middle_5_5_to_lt_8,train,5,latino,matchmaker.html explicit editorial field; not image-inferred
ben-shapiro,m,5.0,low_lt_5_5,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
beyonce,f,8.9,high_ge_8,validation,4,black,matchmaker.html explicit editorial field; not image-inferred
bill-gates,m,3.4,low_lt_5_5,train,4,white,matchmaker.html explicit editorial field; not image-inferred
billie-eilish,f,7.8,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
billy-mcfarland,m,5.5,middle_5_5_to_lt_8,train,2,white,matchmaker.html explicit editorial field; not image-inferred
blaire-white,f,7.0,middle_5_5_to_lt_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
brad-pitt,m,9.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
bruno-mars,m,7.1,middle_5_5_to_lt_8,validation,4,mixed,matchmaker.html explicit editorial field; not image-inferred
callan-exorcist,f,8.6,high_ge_8,holdout,4,white,matchmaker.html explicit editorial field; not image-inferred
casey-anthony,f,4.4,low_lt_5_5,train,2,white,matchmaker.html explicit editorial field; not image-inferred
chloe-grace-moretz,f,7.4,middle_5_5_to_lt_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
chris-brown,m,7.5,middle_5_5_to_lt_8,train,4,black,matchmaker.html explicit editorial field; not image-inferred
chris-hemsworth,m,9.5,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
conor-mcgregor,m,7.0,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
courtney-clenney,f,7.9,middle_5_5_to_lt_8,holdout,2,white,matchmaker.html explicit editorial field; not image-inferred
cristiano-ronaldo,m,9.0,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
dan-bilzerian,m,6.0,middle_5_5_to_lt_8,train,2,white,matchmaker.html explicit editorial field; not image-inferred
danny-devito,m,2.5,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
denzel-washington,m,8.8,high_ge_8,holdout,4,black,matchmaker.html explicit editorial field; not image-inferred
dev-patel,m,8.0,high_ge_8,train,5,south-asian,matchmaker.html explicit editorial field; not image-inferred
dizzykitten,f,7.2,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
dolly-parton,f,8.0,high_ge_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
drake,m,7.0,middle_5_5_to_lt_8,validation,4,mixed,matchmaker.html explicit editorial field; not image-inferred
dwayne-johnson,m,7.5,middle_5_5_to_lt_8,holdout,5,mixed,matchmaker.html explicit editorial field; not image-inferred
ed-sheeran,m,4.5,low_lt_5_5,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
elizabeth-holmes,f,5.0,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
elizabeth-olsen,f,8.0,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
elon-musk,m,5.5,middle_5_5_to_lt_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
eminem,m,6.6,middle_5_5_to_lt_8,validation,4,white,matchmaker.html explicit editorial field; not image-inferred
